id,name_zh,name_en,era,region,type,wiki_title_zh,wiki_title_en
P049,曾国藩,Zeng Guofan,晚清 · 政治家,中国,修身 / 组织,曾国藩,Zeng Guofan
P050,左宗棠,Zuo Zongtang,晚清 · 政治家,中国,军事 / 执行,左宗棠,Zuo Zongtang
P051,李鸿章,Li Hongzhang,晚清 · 政治家,中国,外交 / 平衡,李鴻章,Li Hongzhang
P052,梁启超,Liang Chi-chao,近代 · 思想家,中国,启蒙 / 改革,梁启超,Liang Qichao
P053,蔡元培,Cai Yuanpei,近代 · 教育家,中国,教育 / 包容,蔡元培,Cai Yuanpei
P054,鲁迅,Lu Xun,近代 · 作家,中国,批判 / 文学,鲁迅,Lu Xun
P055,胡适,Hu Shih,近代 · 学者,中国,思想 / 实证,胡適,Hu Shih
P056,徐悲鸿,Xu Beihong,近现代 · 画家,中国,艺术 / 训练,徐悲鸿,Xu Beihong
P057,齐白石,Qi Baishi,近现代 · 画家,中国,艺术 / 个性,齐白石,Qi Baishi
P058,钱学森,Qian Xuesen,现代 · 科学家,中国,科学 / 系统,钱学森,Qian Xuesen
P059,邓稼先,Deng Jiaxian,现代 · 科学家,中国,科学 / 责任,邓稼先,Deng Jiaxian
P060,袁隆平,Yuan Longping,现代 · 农学家,中国,科学 / 实践,袁隆平,Yuan Longping
P061,苏格拉底,Socrates,古希腊 · 哲学家,外国,哲学 / 追问,苏格拉底,Socrates
P062,柏拉图,Plato,古希腊 · 哲学家,外国,思想 / 结构,柏拉图,Plato
P063,亚里士多德,Aristotle,古希腊 · 哲学家,外国,知识 / 分类,亚里士多德,Aristotle
P064,亚历山大大帝,Alexander the Great,古马其顿 · 征服者,外国,军事 / 扩张,亚历山大大帝,Alexander the Great
P065,尤利乌斯·凯撒,Julius Caesar,古罗马 · 政治家,外国,政治 / 军事,尤利烏斯·凱撒,Julius Caesar
P066,奥古斯都,Augustus,古罗马 · 皇帝,外国,制度 / 治理,奥古斯都,Augustus
P067,马可·奥勒留,Marcus Aurelius,古罗马 · 皇帝哲学家,外国,哲学 / 自律,馬可·奧理略,Marcus Aurelius
P068,克娄巴特拉七世,Cleopatra,古埃及 · 女王,外国,政治 / 外交,克娄巴特拉七世,Cleopatra
P069,查理曼,Charlemagne,法兰克 · 皇帝,外国,统治 / 整合,查理曼,Charlemagne
P070,圣女贞德,Joan of Arc,法国 · 军事人物,外国,信念 / 行动,聖女貞德,Joan of Arc
P071,达·芬奇,Leonardo da Vinci,意大利 · 艺术家与发明家,外国,艺术 / 科学,列奥纳多·达·芬奇,Leonardo da Vinci
P072,米开朗基罗,Michelangelo,意大利 · 艺术家,外国,艺术 / 意志,米开朗基罗,Michelangelo
P073,拉斐尔,Raphael,意大利 · 画家,外国,艺术 / 协调,拉斐尔,Raphael
P074,马基雅维利,Niccolò Machiavelli,意大利 · 思想家,外国,政治 / 现实,尼古洛·馬基雅維利,Niccolò Machiavelli
P075,伽利略,Galileo Galilei,意大利 · 科学家,外国,科学 / 质疑,伽利略·伽利莱,Galileo Galilei
P076,牛顿,Isaac Newton,英国 · 科学家,外国,科学 / 深度,艾萨克·牛顿,Isaac Newton
P077,莎士比亚,William Shakespeare,英国 · 剧作家,外国,文学 / 人性,威廉·莎士比亚,William Shakespeare
P078,伊丽莎白一世,Elizabeth I of England,英国 · 女王,外国,统治 / 平衡,伊丽莎白一世,Elizabeth I
P079,彼得大帝,Peter the Great,俄罗斯 · 沙皇,外国,改革 / 扩张,彼得大帝,Peter the Great
P080,叶卡捷琳娜二世,Catherine II of Russia,俄罗斯 · 女皇,外国,统治 / 文化,叶卡捷琳娜二世,Catherine the Great
P081,乔治·华盛顿,George Washington,美国 · 建国者,外国,统帅 / 克制,乔治·华盛顿,George Washington
P082,托马斯·杰斐逊,Thomas Jefferson,美国 · 政治家,外国,思想 / 建制,托马斯·杰斐逊,Thomas Jefferson
P083,本杰明·富兰克林,Benjamin Franklin,美国 · 政治家与科学家,外国,实用 / 创造,班哲文·富蘭克林,Benjamin Franklin
P084,亚伯拉罕·林肯,Abraham Lincoln,美国 · 总统,外国,政治 / 伦理,亚伯拉罕·林肯,Abraham Lincoln
P085,拿破仑,Napoleon,法国 · 皇帝与军事家,外国,军事 / 治理,拿破仑一世,Napoleon
P086,俾斯麦,Otto von Bismarck,德国 · 政治家,外国,政治 / 谋略,奥托·冯·俾斯麦,Otto von Bismarck
P087,丘吉尔,Winston Churchill,英国 · 首相,外国,政治 / 动员,温斯顿·丘吉尔,Winston Churchill
P088,富兰克林·罗斯福,Franklin Delano Roosevelt,美国 · 总统,外国,治理 / 危机,富兰克林·德拉诺·罗斯福,Franklin D. Roosevelt
P089,甘地,Mahatma Gandhi,印度 · 社会活动家,外国,伦理 / 动员,圣雄甘地,Mahatma Gandhi
P090,纳尔逊·曼德拉,Nelson Mandela,南非 · 政治家,外国,和解 / 韧性,纳尔逊·曼德拉,Nelson Mandela
P091,马丁·路德·金,Martin Luther King Jr.,美国 · 民权领袖,外国,理想 / 动员,马丁·路德·金,Martin Luther King Jr.
P092,达尔文,Charles Darwin,英国 · 生物学家,外国,观察 / 理论,查尔斯·达尔文,Charles Darwin
P093,玛丽·居里,Marie Curie,波兰 / 法国 · 科学家,外国,科学 / 韧性,玛丽·居里,Marie Curie
P094,爱因斯坦,Albert Einstein,德国 / 美国 · 科学家,外国,科学 / 想象,阿尔伯特·爱因斯坦,Albert Einstein
P095,尼古拉·特斯拉,Nikola Tesla,塞尔维亚裔美国发明家,外国,发明 / 灵感,尼古拉·特斯拉,Nikola Tesla
P096,托马斯·爱迪生,Thomas Edison,美国 · 发明家,外国,发明 / 实验,托马斯·爱迪生,Thomas Edison
P097,迈克尔·法拉第,Michael Faraday,英国 · 科学家,外国,实验 / 发现,麥可·法拉第,Michael Faraday
P098,詹姆斯·麦克斯韦,James Clerk Maxwell,英国 · 科学家,外国,理论 / 统一,詹姆斯·克拉克·麦克斯韦,James Clerk Maxwell
P099,艾达·洛芙莱斯,Ada Lovelace,英国 · 数学家,外国,计算 / 想象,愛達·勒芙蕾絲,Ada Lovelace
P100,弗洛伦斯·南丁格尔,Florence Nightingale,英国 · 护理先驱,外国,组织 / 关怀,弗羅倫斯·南丁格爾,Florence Nightingale
P101,巴赫,Johann Sebastian Bach,德国 · 作曲家,外国,音乐 / 结构,约翰·塞巴斯蒂安·巴赫,Johann Sebastian Bach
P102,莫扎特,Wolfgang Amadeus Mozart,奥地利 · 作曲家,外国,音乐 / 灵感,沃尔夫冈·阿玛多伊斯·莫扎特,Wolfgang Amadeus Mozart
P103,贝多芬,Ludwig van Beethoven,德国 · 作曲家,外国,音乐 / 意志,路德维希·范·贝多芬,Ludwig van Beethoven
P104,梵高,Vincent van Gogh,荷兰 · 画家,外国,艺术 / 强感受,文森特·梵高,Vincent van Gogh
P105,毕加索,Pablo Picasso,西班牙 · 画家,外国,艺术 / 破框,巴勃羅·畢卡索,Pablo Picasso
P106,托尔斯泰,Leo Tolstoy,俄国 · 作家,外国,文学 / 道德,列夫·托爾斯泰,Leo Tolstoy
P107,陀思妥耶夫斯基,Fyodor Dostoyevsky,俄国 · 作家,外国,文学 / 深层心理,费奥多尔·陀思妥耶夫斯基,Fyodor Dostoevsky
P108,维克多·雨果,Victor Hugo,法国 · 作家,外国,文学 / 人道,维克多·雨果,Victor Hugo
P109,尼采,Friedrich Nietzsche,德国 · 哲学家,外国,哲学 / 价值重估,弗里德里希·尼采,Friedrich Nietzsche
P110,康德,Immanuel Kant,德国 · 哲学家,外国,哲学 / 体系,伊曼努尔·康德,Immanuel Kant
P111,亚当·斯密,Adam Smith,苏格兰 · 思想家,外国,经济 / 社会观察,亚当·斯密,Adam Smith
P112,凯恩斯,John Maynard Keynes,英国 · 经济学家,外国,经济 / 政策,约翰·梅纳德·凯恩斯,John Maynard Keynes
P113,弗洛伊德,Sigmund Freud,奥地利 · 心理学家,外国,心理 / 解释,西格蒙德·弗洛伊德,Sigmund Freud
P114,荣格,Carl Jung,瑞士 · 心理学家,外国,心理 / 象征,卡尔·荣格,Carl Jung
P115,路易·巴斯德,Louis Pasteur,法国 · 科学家,外国,科学 / 应用,路易·巴斯德,Louis Pasteur
P116,亚历山大·弗莱明,Alexander Fleming,英国 · 科学家,外国,科学 / 发现,亚历山大·弗莱明,Alexander Fleming
P117,艾伦·图灵,Alan Turing,英国 · 数学家,外国,计算 / 抽象,艾伦·图灵,Alan Turing
P118,冯·诺依曼,John von Neumann,匈牙利裔美国数学家,外国,数学 / 系统,约翰·冯·诺伊曼,John von Neumann
P119,格蕾丝·霍珀,Grace Hopper,美国 · 计算机科学家,外国,计算 / 实用创新,葛麗絲·霍普,Grace Hopper
P120,沃尔特·迪士尼,Walt Disney,美国 · 创作者与企业家,外国,创意 / 组织,華特·迪士尼,Walt Disney
